STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/5/1990,0,0,0,82,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/6/1990,0,0,0,96,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/7/1990,0,0,0,94,67
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/8/1990,0,0,0,86,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/9/1990,0,0,0,84,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/10/1990,0,0,0,80,58
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/11/1990,0.05,0,0,77,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/12/1990,0,0,0,76,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/13/1990,0,0,0,82,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/14/1990,0,0,0,85,53
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/15/1990,0,0,0,85,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/16/1990,0,0,0,96,58
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/17/1990,0,0,0,95,66
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/18/1990,0.12,0,0,87,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/19/1990,0,0,0,78,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/20/1990,0.18,0,0,78,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/21/1990,0.22,0,0,67,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/22/1990,0,0,0,73,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/23/1990,0,0,0,83,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/24/1990,0,0,0,89,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/25/1990,0,0,0,89,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/26/1990,0.06,0,0,93,65
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/27/1990,0,0,0,86,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/28/1990,0,0,0,86,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/29/1990,0,0,0,82,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/30/1990,0,0,0,80,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,7/31/1990,0,0,0,92,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/1/1990,0,0,0,94,67
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/2/1990,0,0,0,90,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/3/1990,0,0,0,89,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/4/1990,0,0,0,82,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/5/1990,0,0,0,85,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/6/1990,0,0,0,88,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/7/1990,0,0,0,95,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/8/1990,0,0,0,94,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/9/1990,0,0,0,91,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/10/1990,0,0,0,86,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/11/1990,0,0,0,78,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/12/1990,0,0,0,79,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/13/1990,0,0,0,89,52
